"module name","license","repository"
"@auth/core@0.10.0","ISC","https://github.com/nextauthjs/next-auth"
"@auth/sveltekit@0.3.6","ISC*","https://github.com/nextauthjs/next-auth"
"@floating-ui/dom@1.5.1","MIT","https://github.com/floating-ui/floating-ui"
"@sveltejs/adapter-auto@2.1.0","MIT","https://github.com/sveltejs/kit"
"@sveltejs/adapter-cloudflare@2.3.2","MIT","https://github.com/sveltejs/kit"
"@sveltejs/adapter-vercel@3.0.3","MIT","https://github.com/sveltejs/kit"
"@sveltejs/kit@1.22.4","MIT","https://github.com/sveltejs/kit"
"@types/node@20.4.9","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/web-push@3.3.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@vite-pwa/sveltekit@0.2.5","MIT","https://github.com/vite-pwa/sveltekit"
"autoprefixer@10.4.14","MIT","https://github.com/postcss/autoprefixer"
"drizzle-kit@0.19.12","MIT","https://github.com/drizzle-team/drizzle-kit-mirror"
"drizzle-orm@0.28.1","Apache-2.0","https://github.com/drizzle-team/drizzle-orm"
"flowbite-svelte-icons@0.2.6","MIT","https://github.com/themesberg/flowbite-svelte-icons"
"flowbite-svelte@0.40.2","MIT","https://github.com/themesberg/flowbite-svelte"
"flowbite@1.8.1","MIT","https://github.com/themesberg/flowbite"
"license-checker@25.0.1","BSD-3-Clause","https://github.com/davglass/license-checker"
"postcss-load-config@4.0.1","MIT","https://github.com/postcss/postcss-load-config"
"postcss@8.4.27","MIT","https://github.com/postcss/postcss"
"postgres@3.3.5","Unlicense","https://github.com/porsager/postgres"
"scheducation@0.1.0","UNLICENSED",""
"svelte-check@3.4.6","MIT","https://github.com/sveltejs/language-tools"
"svelte@4.1.2","MIT","https://github.com/sveltejs/svelte"
"tailwind-merge@1.14.0","MIT","https://github.com/dcastil/tailwind-merge"
"tailwindcss@3.3.3","MIT","https://github.com/tailwindlabs/tailwindcss"
"tslib@2.6.1","0BSD","https://github.com/Microsoft/tslib"
"typescript@5.1.6","Apache-2.0","https://github.com/Microsoft/TypeScript"
"vite@4.4.9","MIT","https://github.com/vitejs/vite"
"web-push@3.6.4","MPL-2.0","https://github.com/web-push-libs/web-push"
"workbox-window@7.0.0","MIT","https://github.com/googlechrome/workbox"
